Fact,Value,Unit
Number of songs in the Spotify catalog,100000000,songs
Number of active gamers worldwide,3,billion
Number of songs available on Spotify,70,million
Number of Netflix subscribers worldwide (2021),209,million
Number of YouTube videos watched daily,1,billion
Number of emails sent per day worldwide (2021),320,billion
Number of websites on the internet (2021),2,billion
Number of McDonald's restaurants worldwide (2021),39198,restaurants
Number of Coca-Cola servings consumed daily,2,billion
Number of hamburgers eaten by Americans annually,50,billion
Number of hot dogs consumed by Americans annually,20,billion
Number of Starbucks stores worldwide (2021),33833,stores
Number of Apple iPhones sold worldwide (2020),217,million
Number of active Facebook users (2021),3,billion
Number of active Instagram users (2021),1,billion
Number of active Twitter users (2021),397,million
Number of active TikTok users (2024),1,billion
Number of Google searches per day (2021),9,billion
Number of photos uploaded to Instagram daily (2021),95,million
Number of videos uploaded to YouTube daily (2021),720000,hours
Number of text messages sent per day in the U.S. (2020),6,billion
Number of WhatsApp messages sent per day (2021),100,billion
Number of podcast episodes available (2021),48,million
Number of books published annually worldwide (2021),2,million
Number of words in the English language,171146,words
Number of languages spoken worldwide,7139,languages
Number of continents,7,continents
Number of oceans,5,oceans
Number of time zones worldwide,24,time zones
Number of bones in the adult human body,206,bones
Number of muscles in the human body,600,muscles
Number of teeth in an adult human,32,teeth
Number of taste buds on the human tongue,10000,taste buds
Number of hairs on the average human head,100000,hairs
Number of heartbeats per day in an average human,100000,heartbeats
Number of breaths taken per day by an average human,22000,breaths
Number of steps taken per day by an average American,3000,steps
Number of calories consumed per day by an average American,3600,calories
Number of gallons of water used per day by an average American,82,gallons
Number of pounds of trash generated per day by an average American,5,pounds
Number of floors in the Empire state building,102,floors
Height of the Freedom tower,1776,feet
Speed of light in a vacuum,299792458,meters per second
Earth's circumference,40075,kilometers
Distance from Earth to the Moon,384400,kilometers
Height of Mount Everest,8849,meters
Height of the Burj Khalifa,828,meters
Standard atmospheric pressure,101325,pascals
Absolute zero temperature,-273,degrees Celsius
Golden ratio (φ),2,dimensionless
Average human body temperature,37,degrees Celsius
Number of continents,7,count
Number of planets in the Solar System,8,count
Number of bones in adult human body,206,count
Number of teeth in adult human mouth,32,count
Standard chessboard squares,64,count
Number of keys on a standard piano,88,count
Number of cards in a standard deck,52,count
Number of weeks in a year,52,count
Atomic number of Gold,79,count
Atomic number of Uranium,92,count
Number of Great Lakes in North America,5,count
Number of squares on a Monopoly board,40,count
Number of players for an American football team on the field,11,count
Number of players on a basketball team,5,count
Number of symphonies composed by Beethoven,9,count
Number of planets visible to the naked eye,5,count
Number of wonders in the ancient world,7,count
Number of rings in the Olympic symbol,5,count
Number of elements in the periodic table,118,count
Number of chromosomes in human cells,46,count
Number of Nobel Prize categories,6,count
Number of strings on a standard guitar,6,count
Number of holes on a standard golf course,18,count
Number of squares on a Scrabble board,225,count
Number of sides on a standard die,6,count
Number of degrees in a circle,360,count
Number of milliliters in a liter,1000,count
Number of bits in a byte,8,count
Number of episodes in the original Star Trek series,79,count
Number of seasons of The Simpsons,34,count
Number of letters in the Greek alphabet,24,count
Speed of sound,767,mph
Number of seconds in a typical year,31536000,seconds
Members of the House of Representatives,435,members
Number of games in a Major League Baseball season,162,games
Number of games in a regular NBA season,82,games
Percentage of the atmosphere that is nitrogen,78,percent
Percentage of the earth that's covered in water,71,percent
Miles of blood vessels in an adult body,100000,miles
Islands in the Philippines,7651,islands
Bridge crossings on the Trans-Siberian Railway,3901,bridges
Length of the Mississippi River,2340,miles
Length of the Nile River,4132,miles
Number of bones in a blue whale,356,bones
Length of the great wall of China,13171,miles
Air distance from LA to NYC,2446,miles
Air distance from LA to Tokyo,5477,miles
The year the first iPhone was released,2007,year
"The year the original ""Star Wars"" film premiered",1977,year
"The year ""The Beatles"" released their first album",1963,year
"The year the first ""Harry Potter"" book was published",1997,year
"The year ""The Godfather"" was released",1972,year
The year the first modern Olympic Games were held,1896,year
The year the first FIFA World Cup took place,1930,year
The year the first Super Bowl was played,1967,year
The year the first NBA game was played,1946,year
The year the first Wimbledon tennis tournament was held,1877,year
The year the first fashion magazine was published,1792,year
The year the first Victoria's Secret fashion show was held,1995,year
The year the first Paris Fashion Week took place,1945,year
The year the first New York Fashion Week was held,1943,year
The year the first London Fashion Week occurred,1984,year
The year the first iPhone was released,2007,year
